team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,fGTotalAtt,fGTotal50PlusAtt,fGTotal50PlusMade,fGTotalLongest,fGTotalMade,fGAvgCompPct,kickoffTotalAtt,kickoffTotalTBs,xPTotalAtt,xPTotalMade,xPAvgCompPct
Falcons,ATL,13,P,551028848,Bradley Pinion,10,0,7281,13,5,0.00,0,0,0,0,0,0.00,31,17,0,0,0.00
Giants,NYG,15,K,551029874,Jude McAtamney,1,0,0,99,5,6.00,5,1,0,29,3,60.00,32,31,25,24,96.00
Jaguars,JAX,16,K,551028330,Cam Little,1,0,10159,39,6,3.00,1,0,0,33,1,100.00,0,0,30,30,100.00
Jaguars,JAX,16,P,551027222,Logan Cooke,7,0,9331,9,6,0.00,0,0,0,0,0,0.00,37,8,0,0,0.00
Jets,NYJ,17,K,551028576,Jake Moody,2,0,2318,6,5,5.00,2,2,1,52,1,50.00,0,0,12,12,100.00
Jets,NYJ,17,P,551026769,Bryan Anger,13,0,5023,15,5,0.00,0,0,0,0,0,0.00,19,16,0,0,0.00
Lions,DET,18,K,551029807,Jake Bates,2,0,0,39,5,23.00,9,2,1,55,7,77.78,0,0,19,18,94.74
Lions,DET,18,P,551027571,Jack Fox,7,0,9460,3,5,0.00,0,0,0,0,0,0.00,31,22,0,0,0.00
Packers,GB,19,P,551029587,Daniel Whelan,2,0,5263,19,5,3.00,6,1,1,53,3,50.00,17,9,8,7,87.50
Panthers,CAR,20,K,551029099,Austin Seibert,6,0,9625,19,5,11.00,4,2,1,54,3,75.00,30,25,22,22,100.00
Patriots,NE,21,P,551026832,Bryce Baringer,2,0,2645,17,5,0.00,0,0,0,0,0,0.00,32,31,0,0,0.00
Patriots,NE,21,K,551029162,Joey Slye,6,0,577,13,5,9.00,6,0,0,35,3,50.00,0,0,22,21,95.45
Raiders,LV,22,P,551027191,A.J. Cole,6,0,220,6,6,0.00,0,0,0,0,0,0.00,37,19,0,0,0.00
Raiders,LV,22,K,551027112,Daniel Carlson,7,0,8838,2,6,9.00,4,1,0,47,3,75.00,0,0,25,24,96.00
Rams,LAR,23,K,551028190,Joshua Karty,1,0,10138,16,5,17.00,6,2,1,57,5,83.33,14,11,14,14,100.00
Rams,LAR,23,P,551027484,Ethan Evans,2,0,3146,42,2,0.00,0,0,0,0,0,0.00,10,9,0,0,0.00
Ravens,BAL,24,P,551029267,Jordan Stout,3,0,1957,11,1,0.00,0,0,0,0,0,0.00,6,1,0,0,0.00
Ravens,BAL,24,K,551029434,Justin Tucker,13,0,6131,9,6,17.00,6,2,1,50,5,83.33,43,16,40,40,100.00
Saints,NO,26,K,551027720,Blake Grupe,2,0,0,19,5,6.00,4,1,1,53,4,100.00,25,19,16,16,100.00
Saints,NO,26,P,551027643,Jamie Gillan,6,0,125,10,1,0.00,0,0,0,0,0,0.00,5,0,0,0,0.00
Seahawks,SEA,27,P,551027358,Michael Dickson,7,0,8870,4,5,0.00,0,0,0,0,0,0.00,20,15,0,0,0.00
Seahawks,SEA,27,K,551028646,Jason Myers,10,0,7773,5,5,18.00,4,3,3,56,4,100.00,0,0,8,8,100.00
Steelers,PIT,28,K,551026951,Chris Boswell,11,0,6353,9,5,20.00,6,1,1,56,6,100.00,31,10,22,20,90.91
Texans,HOU,31,K,551027497,Ka'imi Fairbairn,9,0,8000,15,6,9.00,4,1,0,48,3,75.00,47,22,37,36,97.30
Titans,TEN,29,P,551027098,Jake Camarda,3,0,1243,4,4,0.00,0,0,0,0,0,0.00,24,3,0,0,0.00
Titans,TEN,29,K,551028789,Riley Patterson,4,0,2110,18,5,23.00,7,1,1,56,7,100.00,6,6,16,15,93.75
Vikings,MIN,30,K,551028942,Will Reichard,1,0,10224,16,6,3.00,5,1,0,45,3,60.00,36,9,23,21,91.30
